"","x"
"89418","2"
"38643","2"
"6783","4"
"42630","4"
"71982","3"
"62833","11"
"119337","2"
"69968","4"
"119854","2"
"80831","2"
"108531","2"
"110662","3"
"77250","4"
"17120","2"
"18121","2"
"48980","2"
"93366","10"
"43311","4"
"72341","2"
"23626","4"
"17050","4"
"125609","2"
"54255","2"
"121912","4"
"20780","9"
"117594","2"
"96481","2"
"14448","2"
"107059","2"
"32195","2"
"33417","3"
"111772","2"
"120318","2"
"125849","2"
"98698","4"
"103084","4"
"24648","4"
"112831","4"
"120071","2"
"23745","2"
"26401","9"
"104075","4"
"11789","9"
"17723","4"
"102729","10"
"39709","2"
"84781","2"
"106809","12"
"9503","4"
"60271","2"
"47621","2"
"38832","12"
"10573","4"
"67942","4"
"44451","10"
"15000","9"
"5610","4"
"80040","2"
"2274","11"
"997","2"
"11029","2"
"46273","2"
"45552","4"
"47334","2"
"3054","9"
"19114","2"
"29082","2"
"42518","2"
"122809","2"
"20808","2"
"17879","4"
"43566","2"
"27309","4"
"26345","2"
"34418","4"
"88239","3"
"94631","2"
"48296","2"
"55852","4"
"73926","2"
"101224","2"
"12916","4"
"73890","4"
"35335","2"
"13502","2"
"113263","4"
"30300","2"
"9585","2"
"8646","2"
"18142","2"
"84561","4"
"93008","2"
"97703","2"
"42753","2"
"108196","4"
"76134","11"
"66774","2"
"1749","4"
"110532","2"
"77456","2"
"99647","2"
"22321","2"
"86255","2"
"114971","4"
"14211","10"
"74272","4"
"31778","4"
"27679","4"
"99116","2"
"96465","4"
"116008","4"
"79160","2"
"61788","2"
"89885","2"
"21052","2"
"59887","2"
"4581","2"
"79274","2"
"47713","10"
"74723","2"
"55180","2"
"32385","4"
"26774","4"
"118610","11"
"81495","3"
"118092","9"
"77673","2"
"11667","10"
"16738","2"
"41868","4"
"38976","10"
"13339","2"
"72733","2"
"98058","2"
"99605","4"
"109362","4"
"50999","4"
"116399","2"
"46479","2"
"94359","2"
"43395","4"
"49180","2"
"117009","2"
"121073","2"
"27069","4"
"114390","4"
"20000","2"
"61564","2"
"125260","2"
"53683","2"
"3321","4"
"92411","13"
"85754","2"
"28430","2"
"59701","2"
"28219","4"
"6741","4"
"20303","4"
"94237","2"
"99260","2"
"48192","4"
"89965","2"
"6423","4"
"13017","4"
"57896","4"
"59632","12"
"118125","2"
"66198","2"
"113685","2"
"112902","4"
"113194","4"
"15086","2"
"94073","4"
"106753","4"
"96097","2"
"86677","2"
"118154","4"
"34772","4"
"56064","2"
"66458","2"
"74555","2"
"84743","2"
"109231","2"
"20401","4"
"12244","4"
"1459","4"
"12787","2"
"31475","2"
"117225","4"
"70362","4"
"5490","2"
"68016","9"
"64976","4"
"48637","2"
"13223","4"
"20834","4"
"11013","5"
"19591","2"
"79754","2"
"6070","4"
"102228","4"
"22805","2"
"45628","2"
"111075","4"
"25131","10"
"124915","4"
"59665","4"
"57327","2"
"39892","2"
"26492","4"
"8166","2"
"108769","4"
"122703","2"
"2264","5"
"41785","3"
"84482","2"
"71822","2"
"14543","2"
"58475","2"
"37609","2"
"13563","2"
"106839","2"
"80970","4"
"122009","2"
"56572","4"
"60593","4"
"91926","2"
"30830","4"
"33148","2"
"110297","2"
"119902","2"
"14524","2"
"37238","2"
"111710","4"
"86250","2"
"16265","2"
"53934","2"
"21013","2"
"34953","4"
"64509","4"
"90452","2"
"83590","3"
"124709","4"
"2440","2"
"2777","2"
"15568","7"
"59562","2"
"83004","9"
"40533","4"
"90198","2"
"89026","2"
"88821","2"
"97826","2"
"36250","9"
"5920","2"
"65886","4"
"93278","2"
"14485","4"
"3430","2"
"98890","2"
"112945","4"
"24883","2"
"108145","2"
"115337","2"
"23297","2"
"28637","23"
"114068","4"
"123637","2"
"6097","4"
"34183","4"
"45259","2"
"74427","4"
"4422","4"
"30815","4"
"107108","4"
"54015","2"
"53962","2"
"30138","10"
"44598","2"
"41165","2"
"40047","4"
"41733","2"
"57616","2"
"33818","4"
"124768","4"
"44557","2"
"99389","10"
"84777","2"
"99293","4"
"34093","2"
"71515","4"
"48040","2"
"41796","9"
"76675","2"
"37186","2"
"49402","2"
"21506","2"
"36382","9"
"92911","2"
"62764","2"
"93081","4"
"37611","2"
"125194","2"
"65948","6"
"15968","4"
"21228","3"
"10873","2"
"9368","4"
"87739","2"
"26561","2"
"72704","2"
"64088","2"
"28257","4"
"112257","4"
"26932","4"
"22525","2"
"83241","2"
"55507","2"
"82","4"
"38903","5"
"100544","2"
"78766","10"
"101193","2"
"62593","2"
"5861","4"
"67350","2"
"102328","2"
"87908","2"
"58464","2"
"72495","4"
"118606","4"
"108679","2"
"53927","10"
"13955","9"
"40393","2"
"50143","2"
"48227","2"
"78166","4"
"23449","4"
"68400","2"
"69997","4"
"76005","2"
"48910","2"
"4235","4"
"124232","3"
"26126","5"
"104976","4"
"114398","2"
"70173","2"
"5459","4"
"59249","2"
"6570","2"
"112851","4"
"13847","4"
"106840","2"
"119993","2"
"5015","2"
"6203","2"
"28682","2"
"77705","4"
"40887","2"
"1720","2"
"58813","4"
"117658","2"
"64998","4"
"67523","2"
"104026","2"
"117301","9"
"58699","4"
"53581","2"
"56762","10"
"64744","4"
"33363","4"
"81831","4"
"50655","2"
"43430","4"
"105975","2"
"106847","2"
"69165","2"
"105095","4"
"17213","2"
"66440","4"
"73773","4"
"108079","7"
"14127","2"
"116806","4"
"101840","2"
"4231","4"
"10249","2"
"6427","2"
"22640","4"
"122749","4"
"39936","2"
"20121","4"
"90189","9"
"77126","2"
"97905","2"
"35438","4"
"97163","2"
"9531","2"
"32480","2"
"64851","4"
"14840","2"
"8713","4"
"49059","2"
"59744","2"
"101637","4"
"80465","2"
"66662","4"
"119699","4"
"115662","2"
"47973","2"
"2237","2"
"109574","2"
"68039","4"
"28645","4"
"28024","2"
"70071","4"
"16467","4"
"61601","4"
"102171","2"
"86346","4"
"92842","2"
"25262","4"
"20441","10"
"48333","4"
"51470","4"
"4937","2"
"56834","2"
"43237","10"
"46076","2"
"104202","2"
"29131","13"
"105315","11"
"1833","13"
"30135","2"
"103340","4"
"13770","4"
"17539","4"
"60691","2"
"7598","11"
"96474","4"
"99302","2"
"122395","4"
"38913","4"
"68886","2"
"109268","3"
"32740","2"
"14143","11"
"92474","4"
"92922","2"
"108552","2"
"14439","4"
"99842","4"
"123748","2"
"102075","2"
"34796","2"
"94866","4"
"53738","6"
"14841","2"
"81479","4"
"88183","2"
"108078","4"
"83593","6"
"54268","4"
"73323","2"
"52887","4"
"96323","2"
"107431","2"
"19994","2"
"87430","2"
"26830","2"
"93800","2"
"32051","9"
"61778","2"
"23613","2"
"67603","2"
"112513","2"
"110339","4"
"5026","2"
"70821","2"
"115738","4"
"98700","2"
"114885","9"
"112556","2"
"26822","2"
"39651","2"
"36722","2"
"61074","2"
"21658","4"
"79369","2"
"123961","2"
"29464","4"
"83224","4"
"49798","11"
"47578","2"
"38678","4"
"108291","2"
"102167","2"
"120270","2"
"64540","12"
"34891","4"
"109970","4"
"108415","4"
"71924","10"
"798","2"
"104648","4"
"2991","4"
"24895","4"
"79098","2"
"82685","2"
"99937","9"
"125066","14"
"24038","2"
"60001","2"
"11566","4"
"107127","4"
"115555","2"
"73117","4"
"31978","2"
"10504","2"
"52439","4"
"114682","2"
"67024","4"
"90692","4"
"14940","4"
"25669","9"
"90629","2"
"104624","4"
"23342","11"
"45749","2"
"98876","2"
"33147","2"
"24016","2"
"64995","9"
"97532","4"
"72379","2"
"35012","2"
"112244","2"
"28689","2"
"39415","2"
"23307","2"
"2862","4"
"45766","4"
"81807","4"
"117957","2"
"45898","4"
"46144","2"
"113139","2"
"5779","2"
"25126","2"
"89629","2"
"21914","5"
"31568","4"
"116476","2"
"118577","4"
"6219","4"
"62301","2"
"73595","4"
"26092","3"
"7016","4"
"68715","4"
"113161","2"
"39974","3"
"109824","2"
"38288","4"
"56981","6"
"72311","9"
"108267","2"
"27556","11"
"107681","2"
"91152","9"
"113367","2"
"32825","4"
"19146","2"
"46783","2"
"74388","4"
"90552","4"
"68362","2"
"117722","2"
"113023","4"
"68933","11"
"93372","2"
"109917","4"
"33569","2"
"28347","4"
"48558","4"
"37077","4"
"73258","10"
"106881","4"
"42889","9"
"21557","2"
"29629","4"
"82921","2"
"19763","4"
"63466","2"
"111517","4"
"123939","2"
"38327","12"
"17260","4"
"103083","4"
"76194","4"
"6399","2"
"121481","2"
"103853","4"
"68393","4"
"111317","4"
"100040","6"
"43915","4"
"22714","4"
"95062","5"
"38996","4"
"64673","2"
"70209","4"
"125527","2"
"71712","4"
"80317","4"
"5993","4"
"11834","2"
"98090","2"
"31087","2"
"125519","2"
"119708","2"
"72199","2"
"1662","2"
"63054","7"
"102495","2"
"83927","10"
"108700","2"
"34359","2"
"69707","2"
"78616","2"
"22373","2"
"83432","2"
"46259","2"
"27123","3"
"570","2"
"60218","2"
"85578","2"
"63976","2"
"95825","10"
"33909","2"
"69220","4"
"27441","2"
"20096","2"
"4576","2"
"89851","9"
"62983","2"
"6350","2"
"124623","2"
"87641","4"
"107606","4"
"60882","4"
"24776","2"
"124820","2"
"107329","2"
"22060","2"
"112487","11"
"77477","9"
"32188","4"
"3598","2"
"113305","5"
"12322","4"
"15996","2"
"40799","4"
"105298","2"
"100840","2"
"63316","2"
"94329","4"
"109641","4"
"87249","4"
"80227","2"
"24747","2"
"12797","2"
"60102","4"
"118797","2"
"33852","2"
"125524","2"
"35144","2"
"60329","3"
"121988","2"
"54257","4"
"49117","12"
"96209","3"
"47681","4"
"48626","5"
"119737","4"
"121034","4"
"88541","2"
"74023","2"
"51901","3"
"37978","2"
"117850","4"
"25341","3"
"70013","2"
"96254","2"
"10456","2"
"105352","4"
"6212","2"
"45868","11"
"34443","2"
"47865","2"
"58734","4"
"8828","4"
"24965","2"
"21981","9"
"69672","4"
"105732","3"
"4474","2"
"7195","2"
"123989","2"
"12305","4"
"106688","10"
"103455","4"
"98736","4"
"43377","2"
"27337","4"
"97124","2"
"66732","3"
"42109","4"
"21499","2"
"119693","2"
"63585","2"
"87058","2"
"104789","4"
"57145","2"
"1781","2"
"57491","2"
"10987","2"
"75981","2"
"110890","2"
"115066","2"
"47939","4"
"104810","2"
"43484","2"
"45648","2"
"69829","4"
"37491","2"
"70843","2"
"33453","2"
"68502","2"
"24785","4"
"40351","2"
"2801","5"
"67842","4"
"63346","2"
"65368","2"
"27758","2"
"102816","2"
"6253","4"
"15550","4"
"10569","2"
"64026","2"
"6811","4"
"101990","2"
"8864","9"
"25052","2"
"64848","4"
"109590","4"
"30177","2"
"109679","4"
"68687","4"
"125254","2"
"113002","4"
"67989","2"
"20127","2"
"37733","2"
"67874","2"
"110914","2"
"62954","4"
"95543","2"
"12667","10"
"39014","2"
"21504","2"
"7336","2"
"37407","2"
"121182","2"
"45632","9"
"115956","2"
"79877","2"
"113876","4"
"95349","4"
"109815","12"
"49820","2"
"58438","2"
"74586","3"
"43075","6"
"62027","2"
"79595","2"
"14964","2"
"9757","2"
"40814","2"
"44844","4"
"125876","2"
"23082","4"
"44425","3"
"894","4"
"30374","2"
"103955","2"
"95268","2"
"89409","2"
"93430","2"
"98639","10"
"66937","2"
"19643","2"
"8899","2"
"97756","4"
"8455","11"
"84302","2"
"34808","4"
"89676","2"
"75606","4"
"107511","2"
"20770","2"
"47772","4"
"2622","2"
"105595","2"
"17715","2"
"101403","4"
"98971","2"
"56571","10"
"30229","2"
"90822","2"
"104369","10"
"122469","2"
"25152","4"
"13823","2"
"89269","4"
"97460","2"
"94644","4"
"112929","4"
"118017","4"
"30922","2"
"96493","2"
"62834","4"
"2011","2"
"7291","4"
"4894","4"
"90159","4"
"3618","4"
"45144","11"
"63122","2"
"119356","4"
"2962","2"
"58202","4"
"80914","2"
"73434","2"
"84199","2"
"22621","2"
"47278","9"
"107197","2"
"2647","3"
"102840","2"
"48248","4"
"7920","2"
"5072","2"
"38535","4"
"18773","2"
"23507","2"
"62661","2"
"101890","2"
"63578","2"
"46289","4"
"96018","4"
"5631","2"
"18244","11"
"108768","2"
"4366","13"
"51706","4"
"36364","2"
"65573","2"
"21596","4"
"50215","4"
"94365","2"
"2209","2"
"114401","10"
"120241","4"
"109397","2"
"24339","2"
"72550","4"
"52835","4"
"51377","4"
"16982","2"
"79270","4"
"83431","2"
"67849","10"
"7731","4"
"56067","4"
"22144","2"
"29250","2"
"50513","4"
"8747","2"
"106193","6"
"27802","10"
"115350","2"
"114476","2"
"73280","4"
"92638","6"
"61428","2"
"28914","6"
"12791","2"
"19133","2"
"79036","13"
"102372","2"
"17086","11"
"108999","11"
"93909","2"
"36295","2"
"93663","2"
"121738","2"
"108221","2"
"94683","2"
"26404","2"
"6248","11"
"26864","2"
"66403","2"
"11558","3"
"31368","4"
"7862","6"
"72809","4"
"28315","4"
"27315","2"
"50040","2"
"57098","4"
"115712","4"
"5197","2"
"55916","2"
"83953","2"
"93670","4"
"57359","2"
"106709","4"
"85819","10"
"11873","3"
"50096","4"
"116611","2"
"100016","4"
"8298","4"
"31458","2"
"21963","9"
"18370","2"
"124003","2"
"95199","10"
"62635","4"
"7782","2"
"28425","2"
"22949","2"
"96146","4"
"19631","4"
"105140","2"
"66183","4"
"102474","2"
"125099","4"
"86458","4"
"111653","2"
"45728","2"
"54582","11"
"117828","2"
"83872","2"
"84919","2"
"41279","4"
"87219","4"
"90628","4"
"75081","10"
"30385","2"
"105753","4"
"74549","2"
"114287","2"
"64649","2"
"80232","2"
"6090","4"
"124665","4"
"92360","2"
"117644","2"
"50294","2"
"125057","2"
"87863","2"
"21269","4"
"71454","2"
"20168","4"
"94304","2"
"111006","2"
"89888","2"
"55715","4"
"2128","4"
"69300","4"
"106771","2"
"91643","2"
"59483","2"
"74380","2"
"115781","2"
"83622","2"
"48099","2"
"42598","2"
"52422","12"
"69857","2"
"85643","4"
"56824","2"
"8955","4"
"8058","2"
"100301","2"
"35581","2"
"5795","2"
"7467","4"
"44202","4"
"5077","2"
"108405","4"
"42878","4"
"43665","4"
"1143","4"
"104872","4"
"75939","4"
"38920","2"
"123546","4"
"7157","4"
"44038","2"
"51603","10"
"43940","2"
"68842","3"
"38520","4"
"87285","2"
"36925","4"
"120335","4"
"69512","2"
"53443","4"
"109914","2"
"81165","2"
"56733","9"
"113371","2"
"47791","4"
"79679","4"
"10089","2"
"102018","2"
"121115","2"
"47793","2"
"89974","4"
"41397","4"
"94428","2"
"67564","4"
"124863","2"
"113167","6"
"665","2"
"75908","4"
"624","2"
"50920","2"
"17629","2"
"20994","4"
"31146","2"
"106974","2"
"39168","3"
"71789","2"
"9953","2"
"52521","2"
"96876","9"
"91549","4"
"85044","4"
"35035","10"
"92990","2"
"14590","2"
"2958","4"
"70695","2"
"87428","4"
"19298","2"
"64626","10"
"48663","2"
"35669","11"
"45122","5"
"62379","5"
"8345","10"
"107739","2"
"31333","2"
"123802","2"
"76788","4"
"88174","2"
"97768","2"
"68175","2"
"124719","9"
"112789","2"
"51741","2"
"24379","2"
"10771","2"
"84595","3"
"8795","2"
"82780","2"
"112545","4"
"24861","2"
"85696","4"
"50555","2"
"18245","2"
"24319","2"
"23036","5"
"27229","2"
"39290","4"
"82474","4"
"15993","10"
"71636","2"
"94202","4"
"50103","4"
"101659","2"
"34961","4"
"84758","2"
"70604","4"
"71438","2"
"93917","2"
"10304","4"
"123380","2"
"40862","12"
"46946","2"
"121119","4"
"46256","2"
"69295","4"
"59142","4"
"22388","14"
"45747","2"
"105937","4"
"60318","4"
"107590","2"
"69164","2"
"85024","2"
"68138","4"
"79890","3"
"102546","4"
"122409","2"
